"Alley","Lot.Shape","Land.Contour","Utilities","Neighborhood","MS.SubClass","Lot.Area","Overall.Qual","Overall.Cond","Year.Built","Year.Remod.Add","Mas.Vnr.Area","BsmtFin.SF.1","BsmtFin.SF.2","Bsmt.Unf.SF","X1st.Flr.SF","X2nd.Flr.SF","Low.Qual.Fin.SF","Bsmt.Full.Bath","Bsmt.Half.Bath","Full.Bath","Half.Bath","Bedroom.AbvGr","Kitchen.AbvGr","TotRms.AbvGrd","SalePrice"
"UNKNOWN","IR1","Lvl","AllPub","CollgCr",20,9317,6,5,2006,2006,0,24,0,1290,1314,0,0,0,0,2,0,3,1,6,1764
"UNKNOWN","Reg","Low","AllPub","IDOTRR",30,8534,4,4,1925,1950,0,0,0,432,672,0,0,0,0,1,0,2,1,4,720
"UNKNOWN","IR1","Lvl","AllPub","CollgCr",20,9920,5,6,1969,1969,0,523,0,448,971,0,0,0,0,1,1,3,1,5,1285
"Pave","Reg","Lvl","AllPub","Somerst",20,7500,7,5,2004,2005,0,410,0,811,1221,0,0,1,0,2,0,2,1,6,1850
"UNKNOWN","IR1","Lvl","AllPub","NWAmes",85,9927,7,5,1976,1976,252,1005,0,42,1083,0,0,1,0,1,0,2,1,5,1720
"UNKNOWN","Reg","Lvl","AllPub","NridgHt",20,12350,9,5,2008,2008,450,1232,0,788,2020,0,0,1,0,2,0,3,1,7,4040
"UNKNOWN","IR1","Bnk","AllPub","OldTown",190,10120,7,4,1910,1950,0,0,0,925,964,925,0,0,0,1,1,4,2,9,1220
"UNKNOWN","IR1","Lvl","AllPub","NWAmes",190,13110,5,6,1972,1972,144,962,0,191,1193,0,0,1,0,2,0,2,1,6,1465
"UNKNOWN","IR1","Lvl","AllPub","SawyerW",20,8529,7,5,2001,2001,0,20,0,1434,1434,0,0,0,0,2,0,3,1,6,1890
"UNKNOWN","IR1","Lvl","AllPub","NAmes",20,12400,6,7,1958,1998,176,585,0,630,1215,0,0,0,0,1,0,3,1,6,1550
"UNKNOWN","Reg","Lvl","AllPub","OldTown",70,9900,6,4,1880,1950,0,0,0,1008,1178,1032,0,0,0,2,0,5,1,8,1175
"UNKNOWN","Reg","Lvl","AllPub","CollgCr",85,8445,5,7,1972,2007,0,656,0,112,768,0,0,1,0,1,0,2,1,5,1330
"UNKNOWN","Reg","Lvl","AllPub","NWAmes",60,10800,6,7,1974,1997,0,956,182,384,1548,1066,0,0,0,2,1,4,1,9,2400
"UNKNOWN","Reg","Lvl","AllPub","NWAmes",20,10000,6,6,1974,1974,176,755,0,348,1103,0,0,0,0,2,0,3,1,6,1550
"UNKNOWN","Reg","Lvl","AllPub","NridgHt",20,16770,8,5,2002,2003,270,1196,0,516,1712,0,0,1,0,2,0,3,1,8,2865
"UNKNOWN","Reg","Lvl","AllPub","NAmes",80,10184,6,5,1963,1963,379,580,0,503,1146,0,0,0,1,1,0,3,1,6,1650
"UNKNOWN","Reg","Lvl","AllPub","Sawyer",20,7832,5,5,1968,1968,0,775,0,89,864,0,0,1,0,1,0,2,1,4,1372
"UNKNOWN","Reg","Lvl","AllPub","Mitchel",120,4500,6,5,1998,1998,320,866,0,338,1204,0,0,1,0,2,0,2,1,5,1620
"UNKNOWN","Reg","Lvl","AllPub","BrkSide",50,3500,3,5,1945,1950,0,144,0,226,442,228,0,1,0,1,0,2,1,4,640
"UNKNOWN","Reg","Lvl","AllPub","IDOTRR",20,6565,4,6,1957,1980,0,967,0,106,1073,0,0,1,0,1,0,3,1,6,1400
"UNKNOWN","Reg","Lvl","AllPub","SWISU",50,6171,6,6,1925,1990,0,264,0,712,1160,448,0,0,0,2,1,3,1,7,1374
"UNKNOWN","Reg","Lvl","AllPub","CollgCr",20,9627,7,5,2007,2007,0,24,0,1327,1361,0,0,0,0,2,0,3,1,6,1930
"UNKNOWN","IR1","Lvl","AllPub","StoneBr",20,11302,8,5,2005,2006,238,1422,0,392,1826,0,0,1,0,2,0,3,1,7,3190
"UNKNOWN","IR1","Lvl","AllPub","Gilbert",60,8577,7,5,2004,2004,0,0,0,847,847,886,0,0,0,2,1,3,1,7,1850
"UNKNOWN","Reg","Lvl","AllPub","OldTown",20,8516,4,6,1958,2006,0,0,0,869,1093,0,0,0,0,1,0,2,1,5,1155
"UNKNOWN","Reg","Lvl","AllPub","NAmes",20,10143,6,7,1963,1963,295,384,0,996,1380,0,0,0,0,1,1,3,1,6,1540
"Pave","Reg","Lvl","AllPub","OldTown",40,5400,6,7,1926,2004,0,370,0,779,1149,467,0,0,0,2,0,3,1,5,1520
"Grvl","Reg","Lvl","AllPub","OldTown",75,13500,7,8,1879,1987,0,0,0,819,1312,1142,0,0,0,2,0,3,1,8,1850
"UNKNOWN","Reg","Lvl","AllPub","SawyerW",60,9109,7,5,1994,1994,0,36,596,122,754,786,0,1,0,2,1,3,1,6,1840
"UNKNOWN","Reg","Lvl","AllPub","NAmes",20,10032,6,5,1959,1959,432,734,0,510,1580,0,0,1,0,1,1,3,1,6,1595
"UNKNOWN","Reg","Low","AllPub","Edwards",85,9825,5,5,1967,1967,162,936,0,0,936,0,0,1,0,1,0,2,1,4,1185
"UNKNOWN","IR1","Lvl","AllPub","CollgCr",20,11923,9,5,2007,2007,0,0,0,1800,1800,0,0,0,0,2,0,2,1,7,2390
"UNKNOWN","IR2","Bnk","AllPub","IDOTRR",90,8472,5,5,1963,1963,0,104,712,0,816,0,0,1,0,1,0,2,1,5,1100
"UNKNOWN","Reg","Lvl","AllPub","BrDale",160,1680,6,5,1971,1971,232,387,0,96,483,504,0,0,0,1,1,2,1,4,854
"Pave","Reg","Lvl","AllPub","Somerst",160,3230,6,5,1999,1999,894,381,0,348,742,729,0,0,0,2,1,3,1,6,1725
"UNKNOWN","Reg","Lvl","AllPub","Edwards",50,6956,4,7,1948,1950,0,0,0,624,624,312,0,0,0,1,0,3,1,5,979
"UNKNOWN","Reg","Lvl","AllPub","IDOTRR",50,13710,5,5,1950,1950,0,420,0,490,910,648,0,0,0,1,1,4,1,6,1520
"UNKNOWN","Reg","Lvl","AllPub","MeadowV",160,1533,4,5,1970,1970,0,408,0,138,546,546,0,0,0,1,1,3,1,5,875
"UNKNOWN","Reg","Lvl","AllPub","NAmes",20,6960,4,6,1970,1970,0,375,239,250,864,0,0,0,0,1,0,3,1,5,1205
"UNKNOWN","Reg","Lvl","AllPub","CollgCr",20,8072,5,5,1994,1995,0,746,0,244,990,0,0,1,0,1,0,3,1,5,1380
"UNKNOWN","Reg","Lvl","AllPub","OldTown",90,6979,6,5,1980,1980,0,1056,0,0,1056,0,0,2,0,0,0,0,2,4,1440
"UNKNOWN","Reg","Lvl","AllPub","CollgCr",85,11105,5,5,1996,1996,0,870,0,0,965,0,0,1,0,1,0,2,1,4,1590
"UNKNOWN","Reg","Lvl","AllPub","SawyerW",20,7500,7,5,2004,2005,120,680,0,400,1080,0,0,1,0,1,0,3,1,6,1410
"UNKNOWN","Reg","HLS","AllPub","NridgHt",20,12720,10,5,2003,2003,680,2257,0,278,2470,0,0,2,0,1,1,1,1,7,6150
"UNKNOWN","IR1","Lvl","AllPub","CollgCr",60,9179,7,5,1999,1999,158,633,0,240,882,908,0,1,0,2,1,3,1,7,1930
"UNKNOWN","Reg","Lvl","AllPub","SWISU",50,10480,6,5,1936,1950,0,0,0,1064,1166,0,473,0,0,1,0,3,1,6,1150
"UNKNOWN","Reg","Lvl","AllPub","SawyerW",20,9605,7,6,2007,2007,0,0,0,1218,1218,0,0,0,0,1,1,3,1,6,1590
"UNKNOWN","Reg","Lvl","AllPub","Crawfor",70,15576,6,7,1915,1976,0,0,0,840,840,840,0,0,0,2,0,4,1,8,1770
"UNKNOWN","Reg","Lvl","AllPub","Edwards",50,21780,6,7,1918,1950,0,0,0,1163,1163,511,0,0,0,2,0,4,1,8,1850
"UNKNOWN","Reg","Lvl","AllPub","NAmes",80,9020,6,5,1964,1964,259,624,336,288,1350,0,0,1,0,1,1,3,1,6,1685
"UNKNOWN","Reg","Lvl","AllPub","OldTown",50,5925,4,6,1900,1950,0,122,448,0,761,380,0,0,0,1,0,3,1,6,850
"UNKNOWN","IR1","Lvl","AllPub","NAmes",50,12513,4,4,1920,2007,0,0,0,715,1281,457,0,0,0,2,0,4,1,7,1049
"UNKNOWN","Reg","Lvl","AllPub","OldTown",50,5000,5,4,1900,1950,0,0,0,540,889,551,0,0,0,1,0,3,1,6,790
"UNKNOWN","IR1","Lvl","AllPub","NAmes",20,8243,5,7,1961,1961,56,700,0,264,964,0,0,0,0,1,0,3,1,5,1375
"UNKNOWN","Reg","HLS","AllPub","Edwards",20,16133,5,4,1969,1969,0,847,0,329,1176,0,0,1,0,1,0,2,1,5,1199
"UNKNOWN","IR1","Lvl","AllPub","NridgHt",120,8232,9,5,2007,2008,714,1204,0,596,1800,0,0,1,0,2,0,2,1,6,3709
"UNKNOWN","IR1","Bnk","AllPub","BrkSide",50,7015,5,4,1950,1950,161,185,0,524,979,224,0,1,0,1,0,3,1,5,1100
"UNKNOWN","Reg","Lvl","AllPub","NridgHt",20,12469,9,5,2006,2007,378,1151,0,639,1816,0,0,1,0,2,0,3,1,7,3560
"UNKNOWN","IR1","HLS","AllPub","NridgHt",20,14780,9,5,2005,2005,568,1505,0,363,1868,0,0,1,0,2,0,2,1,7,4150
"UNKNOWN","Reg","Lvl","AllPub","NWAmes",20,13175,6,6,1978,1988,119,790,163,589,2073,0,0,1,0,2,0,3,1,7,2100
"UNKNOWN","Reg","Lvl","AllPub","NridgHt",60,13440,8,5,2006,2007,190,0,0,1108,1148,1402,0,0,0,2,1,4,1,11,3389
"UNKNOWN","IR1","Lvl","AllPub","NWAmes",85,10464,6,6,1980,1980,130,850,0,138,1102,0,0,1,0,1,0,2,1,5,1690
"UNKNOWN","Reg","Lvl","AllPub","NWAmes",60,11584,7,6,1979,1979,96,315,110,114,1040,685,0,0,0,2,1,3,1,6,1970
"UNKNOWN","IR1","HLS","AllPub","Crawfor",120,3843,8,5,2007,2008,186,1476,0,120,1648,0,0,1,1,2,0,2,1,5,2944
"UNKNOWN","IR1","Lvl","AllPub","Gilbert",60,12460,7,5,1999,2000,0,870,0,167,1037,1285,0,0,0,2,1,4,1,8,2250
"UNKNOWN","Reg","Lvl","AllPub","NAmes",90,12436,5,5,1957,1957,0,0,0,1824,1824,0,0,0,0,2,0,5,2,9,1460
"UNKNOWN","Reg","Lvl","AllPub","NWAmes",80,14115,7,5,1980,1980,225,1036,0,336,1472,0,0,1,0,2,0,3,1,6,1875
"UNKNOWN","Reg","Lvl","AllPub","NWAmes",20,10140,7,5,1998,1999,0,144,1127,379,1680,0,0,1,0,2,0,3,1,7,2132
"UNKNOWN","IR1","HLS","AllPub","StoneBr",20,18261,9,5,2005,2005,420,1416,0,494,2000,0,0,1,0,2,1,3,1,8,4700
"UNKNOWN","IR1","Lvl","AllPub","Sawyer",20,4280,4,9,1946,2001,0,0,0,560,704,0,0,0,1,1,0,2,1,4,887
"UNKNOWN","IR1","Lvl","AllPub","Gilbert",60,8658,6,5,2000,2000,0,732,0,250,1008,881,0,0,0,2,1,3,1,9,2150
"Grvl","Reg","Lvl","AllPub","OldTown",30,10410,3,8,1930,2001,0,0,0,713,713,0,0,0,0,1,0,2,1,5,998
"UNKNOWN","Reg","Lvl","AllPub","OldTown",70,10560,6,7,1922,1994,0,283,0,455,868,602,0,0,0,1,1,2,1,6,1407
"UNKNOWN","IR1","Lvl","AllPub","StoneBr",120,4740,8,5,1988,1988,0,248,0,918,1179,0,0,1,0,2,0,2,1,5,1820
"UNKNOWN","Reg","Lvl","AllPub","Gilbert",80,8400,7,5,1996,1997,32,284,0,100,958,670,0,0,0,2,1,3,1,7,1890
"UNKNOWN","IR1","HLS","AllPub","Crawfor",120,4750,8,5,2006,2007,481,1573,0,0,1625,0,0,1,1,2,0,2,1,5,2350
"UNKNOWN","IR1","Lvl","AllPub","CollgCr",20,10402,7,5,2009,2009,0,0,0,1226,1226,0,0,0,0,2,0,3,1,6,1989
"UNKNOWN","Reg","Lvl","AllPub","Sawyer",20,11200,5,5,1965,1965,0,906,0,134,1040,0,0,1,0,1,0,3,1,5,1295
"UNKNOWN","IR1","Lvl","AllPub","Greens",120,3760,8,5,1980,1980,0,1009,182,44,1235,0,0,1,0,1,0,1,1,4,2140
"UNKNOWN","IR1","Lvl","AllPub","NridgHt",120,10307,7,5,2007,2008,176,876,0,474,1358,0,0,1,0,2,0,2,1,6,2125
"UNKNOWN","Reg","Bnk","AllPub","SWISU",30,4853,5,6,1924,1999,203,133,0,974,1296,0,0,0,0,2,0,2,1,5,1040
"UNKNOWN","Reg","Lvl","AllPub","Somerst",60,10207,7,6,2007,2007,0,0,0,874,874,887,0,0,0,3,0,3,1,7,2278
"UNKNOWN","Reg","Lvl","AllPub","Sawyer",90,12900,4,4,1969,1969,0,1198,0,0,1258,0,0,2,0,0,2,0,2,6,1089
"UNKNOWN","Reg","Lvl","AllPub","CollgCr",20,9316,7,5,2005,2005,140,56,0,1558,1614,0,0,0,0,2,0,3,1,7,2250
"UNKNOWN","Reg","Lvl","AllPub","IDOTRR",80,13200,6,6,1963,1963,234,375,0,366,1497,797,0,0,0,3,0,5,1,9,2025
"UNKNOWN","IR1","Lvl","AllPub","CollgCr",60,9548,7,6,2003,2003,223,483,0,458,941,888,0,1,0,2,1,3,1,7,2370
"UNKNOWN","IR1","Lvl","AllPub","Somerst",60,8127,7,5,2003,2003,0,410,0,402,812,841,0,1,0,2,1,3,1,6,2090
"Pave","Reg","Lvl","AllPub","BrkSide",70,13515,6,6,1919,1950,0,0,0,764,1060,764,0,0,0,1,0,3,1,8,1805
"UNKNOWN","Reg","Lvl","AllPub","NAmes",50,8064,6,5,1950,1950,0,621,0,174,765,368,0,0,0,1,0,3,1,5,1285
"UNKNOWN","IR1","Low","AllPub","ClearCr",20,25095,5,8,1968,2003,0,1324,0,113,1473,0,0,2,0,1,0,1,1,5,1430
"UNKNOWN","Reg","Lvl","AllPub","NAmes",20,9230,5,8,1965,1998,166,661,0,203,1200,0,0,1,0,1,1,1,1,6,1460
"UNKNOWN","Reg","Lvl","AllPub","NAmes",20,8400,6,9,1962,2005,237,0,0,1319,1537,0,0,1,0,1,1,3,1,7,1740
"UNKNOWN","IR1","Lvl","AllPub","NAmes",20,10500,5,5,1964,1964,144,998,0,294,1292,0,0,1,0,1,1,3,1,6,1451
"UNKNOWN","Reg","Lvl","AllPub","BrkSide",30,8854,6,6,1916,1950,0,0,0,952,952,0,0,0,0,1,0,2,1,4,1210
"UNKNOWN","Reg","Lvl","AllPub","BrkSide",30,6120,5,6,1925,1999,0,0,0,960,995,0,0,0,0,1,0,2,1,5,1150
"UNKNOWN","Reg","Lvl","AllPub","CollgCr",20,8070,4,5,1994,1995,0,588,0,402,990,0,0,1,0,1,0,3,1,5,1236
"UNKNOWN","Reg","Lvl","AllPub","Mitchel",90,10530,6,5,1977,1977,90,975,0,0,1004,0,0,1,0,1,0,2,1,4,1350
"UNKNOWN","Reg","Lvl","AllPub","Edwards",20,10206,3,3,1952,1952,0,0,0,0,944,0,0,0,0,1,0,2,1,4,820
"Grvl","Reg","Lvl","AllPub","OldTown",50,9600,5,8,1925,1994,0,0,0,702,842,630,0,0,0,1,0,3,1,6,1250
"UNKNOWN","IR1","Lvl","AllPub","CollgCr",20,12250,5,6,1978,1978,180,781,0,83,1174,0,0,1,0,1,0,3,1,5,1580
"UNKNOWN","IR1","Lvl","AllPub","CollgCr",60,9337,6,5,1997,1997,0,648,0,176,905,881,0,1,0,2,1,3,1,7,2047
"UNKNOWN","Reg","Lvl","AllPub","NAmes",20,10895,5,6,1955,1955,0,648,0,324,972,0,0,0,0,1,0,3,1,5,1225
"UNKNOWN","IR1","Lvl","AllPub","SWISU",190,4484,5,6,1942,1979,0,485,0,187,778,504,0,1,0,1,0,2,1,4,1085
"UNKNOWN","Reg","Lvl","AllPub","NAmes",20,7763,5,7,1962,1980,0,504,108,319,1283,0,0,1,0,1,0,3,1,6,1400
"UNKNOWN","IR1","Lvl","AllPub","NridgHt",120,6904,6,5,2005,2005,240,836,0,522,1358,0,0,0,0,2,0,2,1,6,2130
"UNKNOWN","Reg","Lvl","AllPub","Edwards",20,8877,4,6,1938,1958,0,690,0,126,816,0,0,1,0,1,0,2,1,3,1000
"UNKNOWN","Reg","Lvl","AllPub","Somerst",60,11003,10,5,2008,2008,160,765,0,252,1026,981,0,1,0,2,1,3,1,10,3100
"UNKNOWN","IR3","Lvl","AllPub","NAmes",20,12155,6,3,1970,1970,0,1237,0,420,1657,0,0,0,1,2,0,3,1,7,1635
"UNKNOWN","Reg","Lvl","AllPub","NridgHt",20,11694,9,5,2007,2007,452,48,0,1774,1828,0,0,0,0,2,0,3,1,9,3148
"UNKNOWN","IR1","Lvl","AllPub","Gilbert",60,10141,7,5,1998,1998,40,0,0,832,885,833,0,0,0,2,1,3,1,7,1850
"UNKNOWN","Reg","Lvl","AllPub","NWAmes",60,10421,7,5,1988,1988,42,394,0,586,980,734,0,0,0,2,1,3,1,7,1965
"UNKNOWN","Reg","Lvl","AllPub","NAmes",20,7922,5,7,1953,2007,0,731,0,326,1057,0,0,1,0,1,0,3,1,5,1090
"UNKNOWN","Reg","Lvl","AllPub","NridgHt",20,14333,8,5,2007,2007,0,1518,0,590,2122,0,0,1,0,2,1,2,1,7,3454
"UNKNOWN","Reg","Lvl","AllPub","IDOTRR",30,12366,3,5,1945,1950,0,0,0,0,729,0,0,0,0,1,0,2,1,5,516
"UNKNOWN","Reg","Lvl","AllPub","Mitchel",20,6953,5,7,1971,2004,0,469,0,395,874,0,0,0,0,1,0,3,1,5,1300
"UNKNOWN","Reg","Lvl","AllPub","NAmes",20,6600,5,5,1962,1962,0,110,442,312,864,0,0,0,0,1,0,2,1,5,1255
"UNKNOWN","Reg","Lvl","AllPub","Edwards",80,6285,6,6,1976,1976,0,504,0,456,1044,0,0,1,0,1,0,3,1,7,1335
"Pave","IR1","Lvl","AllPub","Somerst",120,3784,8,5,2006,2007,36,60,0,1451,1565,0,0,1,0,2,0,2,1,5,1938
"UNKNOWN","Reg","Lvl","AllPub","NAmes",45,12172,5,7,1940,1996,0,130,259,433,908,0,0,0,0,1,0,2,1,4,1385
"UNKNOWN","Reg","Lvl","AllPub","OldTown",20,6000,5,5,1948,1950,0,104,169,516,789,0,0,0,0,1,0,2,1,5,1150
"Grvl","Reg","Lvl","AllPub","OldTown",70,7200,6,8,1915,1950,0,338,0,325,774,821,0,0,0,2,0,3,1,7,1555
"UNKNOWN","IR1","Lvl","AllPub","Timber",60,9839,6,8,1980,2006,0,462,0,250,1375,862,0,0,0,2,1,3,1,7,2040
"UNKNOWN","Reg","Lvl","AllPub","BrkSide",50,6000,6,7,1940,1989,0,521,0,460,1014,658,0,0,0,1,1,3,1,6,1649
"UNKNOWN","Reg","Lvl","AllPub","NAmes",20,9204,5,5,1963,1963,0,25,872,247,1144,0,0,1,0,1,1,3,1,6,1240
"UNKNOWN","IR1","Lvl","AllPub","CollgCr",20,14330,5,6,1975,2001,0,88,596,180,1558,0,0,1,0,2,0,2,1,5,1630
"UNKNOWN","Reg","Lvl","AllPub","Sawyer",20,8480,5,6,1963,1963,0,630,0,340,970,0,0,1,0,1,0,2,1,5,1325
"UNKNOWN","IR1","Lvl","AllPub","Mitchel",20,11625,5,7,1983,1983,0,596,0,220,816,0,0,1,0,1,0,2,1,4,1390
"UNKNOWN","IR1","HLS","AllPub","Crawfor",70,11988,6,7,1934,1995,0,326,0,389,849,811,0,0,0,1,1,3,1,6,1887
"UNKNOWN","Reg","Lvl","AllPub","OldTown",30,4608,4,6,1945,1950,0,0,0,747,747,0,0,0,0,1,0,2,1,4,800
"UNKNOWN","IR1","HLS","AllPub","Crawfor",70,9650,6,3,1923,1950,0,0,0,784,819,784,0,0,0,1,0,4,1,7,1380
"UNKNOWN","Reg","Lvl","AllPub","Sawyer",20,7800,5,7,1967,2004,89,450,0,414,899,0,0,0,0,1,0,3,1,5,1300
"UNKNOWN","Reg","Lvl","AllPub","Somerst",60,9605,7,5,2006,2006,0,0,0,982,982,995,0,0,0,2,1,3,1,7,2500
"UNKNOWN","IR1","Lvl","AllPub","NWAmes",20,10456,6,6,1967,1967,120,506,0,1323,1829,0,0,1,0,2,0,4,1,8,2185
"UNKNOWN","Reg","Lvl","AllPub","NAmes",60,7700,6,5,1966,1966,351,0,0,756,1051,788,0,0,0,1,1,4,1,7,1550
"UNKNOWN","IR1","Lvl","AllPub","CollgCr",60,12438,6,5,1995,1995,68,0,0,781,795,704,0,0,0,2,1,3,1,6,1870
"UNKNOWN","Reg","Lvl","AllPub","Somerst",20,10440,6,5,2005,2005,0,1414,0,54,1468,0,0,1,0,2,0,2,1,6,2715
"UNKNOWN","Reg","Lvl","AllPub","NridgHt",20,12085,8,5,2007,2007,328,1004,0,730,1734,0,0,1,0,2,0,3,1,7,3180
"UNKNOWN","Reg","Lvl","AllPub","SawyerW",60,8285,7,5,1992,1992,0,397,0,439,844,893,0,0,1,2,1,3,1,7,1750
"UNKNOWN","Reg","Lvl","AllPub","CollgCr",20,8814,7,5,2006,2006,180,1334,0,270,1604,0,0,1,0,2,1,3,1,8,2200
"Grvl","Reg","Bnk","AllPub","NAmes",50,10930,5,6,1945,1950,0,580,0,333,1048,510,0,1,0,1,1,3,1,6,1400
"UNKNOWN","Reg","Lvl","AllPub","OldTown",30,5925,2,4,1940,1950,0,0,0,0,612,0,0,0,0,1,0,1,1,4,450
"Grvl","Reg","Lvl","AllPub","Edwards",30,8088,2,3,1922,1955,0,0,0,498,498,0,0,0,0,1,0,1,1,3,350
"UNKNOWN","Reg","Lvl","AllPub","NAmes",20,7200,5,7,1954,1954,0,0,0,825,825,0,0,0,1,1,0,2,1,4,1095
"UNKNOWN","Reg","Lvl","AllPub","Sawyer",50,6960,7,8,1940,1998,0,258,0,422,798,504,0,0,0,1,1,2,1,6,1652
"UNKNOWN","Reg","Lvl","AllPub","Mitchel",90,7060,7,5,1997,1998,200,1309,0,35,1344,0,0,2,0,2,0,2,2,8,2063
"UNKNOWN","Reg","Lvl","AllPub","Edwards",50,8410,5,3,1910,1996,0,0,0,658,658,526,0,0,0,1,0,5,1,8,810
"Grvl","Reg","Lvl","AllPub","OldTown",70,5100,8,7,1925,1996,0,0,0,588,833,833,0,0,0,1,0,3,1,7,1610
"UNKNOWN","Reg","Lvl","AllPub","NAmes",20,9100,5,5,1960,1960,69,0,0,1144,1144,0,0,0,0,1,0,3,1,6,1200
"UNKNOWN","Reg","Lvl","AllPub","Blmngtn",120,2938,7,5,2002,2002,40,1038,0,330,1511,0,0,1,0,2,0,2,1,5,2469
"UNKNOWN","Reg","Lvl","AllPub","CollgCr",60,8450,7,5,2003,2003,196,706,0,150,856,854,0,1,0,2,1,3,1,8,2085
"UNKNOWN","Reg","Lvl","AllPub","NAmes",20,11556,5,9,1953,2006,0,408,0,456,1154,0,0,0,0,1,1,3,1,6,1420
"UNKNOWN","IR3","Lvl","AllPub","CollgCr",60,15295,7,5,1996,2002,254,762,0,98,1212,780,0,1,0,2,1,3,1,7,2110
"UNKNOWN","Reg","Lvl","AllPub","IDOTRR",70,9060,5,6,1923,1999,0,548,0,311,942,886,0,0,0,2,0,3,1,6,1509
"UNKNOWN","Reg","Lvl","AllPub","NAmes",20,11050,5,5,1956,1956,0,488,0,517,1005,0,0,0,0,1,0,2,1,6,1335
"UNKNOWN","Reg","Lvl","AllPub","Sawyer",90,8235,5,4,1977,1977,99,483,0,1466,1949,0,0,0,0,2,0,6,2,10,1570
"UNKNOWN","IR1","Low","AllPub","Timber",20,50102,6,5,1958,1958,0,909,0,723,1650,0,0,1,0,1,0,2,1,6,2507
"UNKNOWN","Reg","Lvl","AllPub","NoRidge",60,10790,7,5,1998,1998,275,0,0,1066,1108,1277,0,0,0,2,1,4,1,8,2520
"UNKNOWN","IR1","Lvl","AllPub","NAmes",20,7830,5,5,1970,1970,0,0,0,1180,1180,0,0,0,0,1,1,2,1,6,1280
"Pave","IR1","Lvl","AllPub","Somerst",60,8010,8,5,2003,2004,0,964,0,90,1072,976,0,1,0,2,1,3,1,8,3010
"UNKNOWN","Reg","Lvl","AllPub","NAmes",20,10667,6,6,1971,1971,302,838,0,749,1587,0,0,0,0,2,0,3,1,7,1673
"UNKNOWN","IR1","Lvl","AllPub","Edwards",90,9555,5,6,1979,1979,0,0,0,0,1100,1133,0,0,0,2,1,5,2,11,1410
